objectKey,publicUrl,category,meaning
"books/previews/book-1/page-39.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-39.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-40.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-40.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-41.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-41.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-42.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-42.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-43.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-43.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-44.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-44.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-45.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-45.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-46.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-46.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-47.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-47.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-48.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-48.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-49.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-49.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-50.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-50.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-02.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-02.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-03.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-03.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-04.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-04.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-05.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-05.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-06.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-06.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-07.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-07.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-08.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-08.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-09.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-09.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-10.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-10.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-11.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-11.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-12.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-12.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-13.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-13.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-14.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-14.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-15.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-15.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-16.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-16.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-17.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-17.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-18.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-18.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-19.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-19.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-20.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-20.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-21.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-21.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-22.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-22.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-23.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-23.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-24.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-24.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-25.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-25.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-26.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-26.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-27.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-27.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-28.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-28.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-29.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-29.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-30.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-30.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-31.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-31.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-32.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-32.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-33.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-33.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-34.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-34.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-35.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-35.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-36.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-36.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-37.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-37.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-38.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-38.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-2/page-39.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-2/page-39.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-01.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-01.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-02.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-02.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-03.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-03.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-04.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-04.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-05.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-05.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-06.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-06.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-07.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-07.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-08.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-08.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-09.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-09.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-10.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-10.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-11.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-11.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-12.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-12.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-13.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-13.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-14.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-14.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-15.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-15.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-16.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-16.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-17.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-17.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-18.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-18.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-19.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-19.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-20.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-20.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-21.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-21.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-22.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-22.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-23.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-23.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-24.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-24.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-25.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-25.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-26.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-26.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-27.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-27.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-28.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-28.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-29.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-29.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-30.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-30.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-31.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-31.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-32.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-32.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-33.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-33.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-3/page-34.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-3/page-34.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-01.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-01.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-02.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-02.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-03.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-03.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-04.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-04.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-05.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-05.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-06.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-06.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-07.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-07.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-08.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-08.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-09.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-09.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-10.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-10.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-11.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-11.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-4/page-12.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-4/page-12.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
